歌名,风格,语言,备注,切片
阿楚姑娘,流行,国语,,https://www.bilibili.com/video/BV1d44y1U7gz/
阿刁,流行,国语,,
阿拉斯加海湾,流行,国语,,https://www.bilibili.com/video/BV1G8411p7CR/
爱久见人心,流行,国语,,
爱你,流行,国语,,https://www.bilibili.com/video/BV1z8411V71L/
爱囚,流行,国语,,
爱无反顾,流行,国语,,https://www.bilibili.com/video/BV1Fg411W7M9/
爱要坦荡荡,流行,国语,,
暗香,音乐剧,国语,,https://www.bilibili.com/video/BV1Xe411F79j/
白鸽,流行,国语,,
白羊,流行,国语,,
半壶纱,古风,国语,,
贝加尔湖畔,流行,国语,,https://www.bilibili.com/video/BV11d4y1x7Ch/
背对背拥抱,流行,国语,,
碧波摇篮曲,童年回忆,国语,,
别看我只是一只羊,童年回忆,国语,,https://www.bilibili.com/video/BV1U14y1N7t4/
不分手的恋爱,流行,国语,,
不老梦,古风,国语,,https://www.bilibili.com/video/BV1624y1m7Mh/
不能说的秘密,流行,国语,,
不怕,童年回忆,国语,,
不染,古风,国语,,
不痛,流行,国语,,
不问天,古风,国语,,
不再联系,流行,国语,,
不醉不会,流行,国语,,
彩色的黑,流行,国语,,
参商,古风,国语,,
尘埃,古风,国语,,
尘曦,童年回忆,国语,,
趁早,流行,国语,,
赤伶,古风,国语,,https://www.bilibili.com/video/BV143411X7En/
传说有个魔仙堡,童年回忆,国语,,
吹梦到西洲,古风,国语,,
春暖花开,流行,国语,,
春天的芭蕾,流行,国语,大航海限定,
匆匆那年,流行,国语,,
从前的我,童年回忆,国语,,
从前慢,流行,国语,,
从前说,流行,国语,,
大家一起喜羊羊,童年回忆,国语,,https://www.bilibili.com/video/BV1jV4y1c7jV/
大眠,流行,国语,,
大雾,流行,国语,,
大鱼,流行,国语,,https://www.bilibili.com/video/BV1XR4y1k7LF/
当时,音乐剧,国语,,https://www.bilibili.com/video/BV1re411N7jp/
挡我者是我,流行,国语,,
到不了,流行,国语,,
倒带,流行,国语,,
等你的季节,古风,国语,,
东风志,古风,国语,,
冬眠,流行,国语,,
独家记忆,流行,国语,,
对不起我爱你,流行,国语,,
多情种,古风,国语,,
多远都要在一起,流行,国语,,
繁华梦,古风,国语,,https://www.bilibili.com/video/BV17W4y1K722/
风萤月,古风,国语,,https://www.bilibili.com/video/BV1GA411R7dQ/
风之咏,古风,国语,,
浮生未歇,古风,国语,,https://www.bilibili.com/video/BV1yA411D7HX/
腐草为萤,古风,国语,,
告白气球,流行,国语,,https://www.bilibili.com/video/BV18M41117qp/
搁浅,流行,国语,,
歌者,流行,国语,,https://www.bilibili.com/video/BV1EP411T7wZ/
勾指起誓,流行,国语,,
孤勇者,流行,国语,,
故梦,古风,国语,,
关键词,流行,国语,,
光的方向,流行,国语,,
光年之外,流行,国语,,
和你一样,流行,国语,,
红豆,流行,国语,,
红梅白雪知,古风,国语,,https://www.bilibili.com/video/BV15g41147Dy/
红色高跟鞋,流行,国语,,
红颜劫,古风,国语,,
红颜旧,古风,国语,,
红叶寺,古风,国语,,
后会无期,流行,国语,,
胡桃夹子,流行,国语,,https://www.bilibili.com/video/BV1j8411V72q/
华胥引,古风,国语,,
化身孤岛的鲸,流行,国语,,
化作樱花树,流行,国语,,
画骨成沙,古风,国语,,
幻听,流行,国语,,
挥着翅膀的女孩,流行,国语,,
回忆的沙漏,流行,国语,,
记念,流行,国语,,
寂寞先生,流行,国语,,
嘉宾,流行,国语,绝活,https://www.bilibili.com/video/BV1RP4y1X7A8/
煎熬,流行,国语,大航海限定,
借我,流行,国语,,https://www.bilibili.com/video/BV1MM41167yM/
金缕衣,古风,国语,,
锦鲤抄,古风,国语,,https://www.bilibili.com/video/BV1q841157cP/
惊鹊,古风,国语,,
九儿,流行,国语,,
九万字,古风,国语,,
九张机,古风,国语,,
咖喱咖喱,流行,国语,,https://www.bilibili.com/video/BV1EG4y1V7nu/
开心往前飞,童年回忆,国语,,
可乐,流行,国语,,https://www.bilibili.com/video/BV1nG411u7gJ/
可念不可说,古风,国语,,https://www.bilibili.com/video/BV1a8411G7Sy/
可惜没如果,流行,国语,,
刻在我心底的名字,流行,国语,,
快乐的扑满,童年回忆,国语,,
快乐女孩,童年回忆,国语,,
蓝莲花,流行,国语,,
浪费,流行,国语,,
恋人心,古风,国语,,
流着泪说分手,流行,国语,,
庐州月,古风,国语,,
鹿be free,流行,国语,,
绿色的旋律,童年回忆,国语,,
绿洲,流行,国语,,https://www.bilibili.com/video/BV1wP411g7Sy/
玛依拉变奏曲,流行,国语,大航海限定,https://www.bilibili.com/video/BV1jG4y1G7jR/
满天星辰不及你,流行,国语,,
慢慢喜欢你,流行,国语,,
没离开过,流行,国语,,
梦的光点,童年回忆,国语,,
明天，你好,流行,国语,,
明月天涯,古风,国语,,
命运,古风,国语,,
魔鬼中的天使,流行,国语,,
漠河舞厅,流行,国语,,https://www.bilibili.com/video/BV1nP4y1X7qv/
墨衣,古风,国语,,
默,流行,国语,,
木头的心,流行,国语,,
牧云谣,古风,国语,,
你,流行,国语,,
你不知道的事,流行,国语,,
你就不要想起我,流行,国语,,
你是我的风景,流行,国语,,
你要的爱,流行,国语,,
孽海记,流行,国语,大航海限定,
女儿情,童年回忆,国语,,
泡沫,流行,国语,,https://www.bilibili.com/video/BV11P411T7Kh/
飘雪,流行,国语,,
漂洋过海来看你,流行,国语,,
菩萨蛮,古风,国语,,
起风了,流行,国语,,
千古,古风,国语,,https://www.bilibili.com/video/BV1c841157Z7/
牵丝戏,古风,国语,,
倾尽天下,古风,国语,,
清明雨上,古风,国语,,
晴天,流行,国语,,
秋水长天,流行,国语,大航海限定,https://www.bilibili.com/video/BV1TR4y1y786/
缺氧,流行,国语,,
人间不值得,古风,国语,,
如此,流行,国语,,
如果爱忘了,流行,国语,,
如愿,流行,国语,,https://www.bilibili.com/video/BV1844y1S7W7/
撒野,流行,国语,,
三寸天堂,古风,国语,,https://www.bilibili.com/video/BV1rP4y197of/
姗姗,流行,国语,,https://www.bilibili.com/video/BV15e4y1378C/
舍不得,流行,国语,,
身骑白马,流行,国语,,https://www.bilibili.com/video/BV1wK411z7uU/
盛夏光年,流行,国语,,
失恋无罪,流行,国语,,
十年,流行,国语,,
十三月凉,古风,国语,,
时间煮雨,流行,国语,,
是否爱过我,流行,国语,,https://www.bilibili.com/video/BV1bK411X7x6/
手掌心,古风,国语,,
霜雪千年,古风,国语,,
水星记,流行,国语,,
说散就散,流行,国语,,https://www.bilibili.com/video/BV1wK41167oG/
岁月神偷,流行,国语,,https://www.bilibili.com/video/BV1124y1S7vE/
他不爱我,流行,国语,,
探窗,古风,国语,,
棠梨煎雪,古风,国语,,https://www.bilibili.com/video/BV12G4y197cQ/
桃花诺,古风,国语,,
体面,流行,国语,,https://www.bilibili.com/video/BV1aP4y1B7Mg/
天边外,音乐剧,国语,,https://www.bilibili.com/video/BV1e84y1x7u8/
天命风流,古风,国语,,
天堂岛之歌,流行,国语,,https://www.bilibili.com/video/BV1SW4y1u7DW/
天天想你,流行,国语,,
天真,流行,国语,,
听海,流行,国语,,
同桌的你,流行,国语,,
童话镇,流行,国语,,
童年,童年回忆,国语,,
外婆桥,古风,国语,,
往后余生,流行,国语,,
我不难过,流行,国语,,
我的未来式,流行,国语,,
我的一个道姑朋友,古风,国语,,
我的月光,古风,国语,,
我等到花儿也谢了,流行,国语,,https://www.bilibili.com/video/BV1tK411R7kZ/
我好想你,流行,国语,,
我很快乐,流行,国语,,
我怀念的,流行,国语,,
我们的爱,流行,国语,,
我们都被忘了,流行,国语,,
我要的飞翔,流行,国语,,
我要快乐,流行,国语,,
无人之岛,流行,国语,,
昔言,古风,国语,,https://www.bilibili.com/video/BV1584y1k7Fb/
喜欢你,流行,国语,,
霞光,童年回忆,国语,,https://www.bilibili.com/video/BV1qd4y1x7Vn/
下雨天,流行,国语,,
夏天的风,流行,国语,,
香水有毒,流行,国语,,
想念拟人化,流行,国语,,
小半,流行,国语,,
小城故事,流行,国语,,
小情歌,流行,国语,,
小跳蛙,童年回忆,国语,,
小小,流行,国语,,
小星星,流行,国语,,https://www.bilibili.com/video/BV1UY411m7jz/
小幸运,流行,国语,,
心,童年回忆,国语,,
心愿,流行,国语,,
心愿便利贴,流行,国语,,
心中想的还是他,童年回忆,国语,,https://www.bilibili.com/video/BV1E14y1K7Wm/
星辰大海,流行,国语,大航海限定,
星月神话,古风,国语,,
雪落下的声音,流行,国语,,https://www.bilibili.com/video/BV1n84y167jP/
烟花易冷,流行,国语,,
眼泪的名字,流行,国语,,
演员,流行,国语,,
痒,流行,国语,,
也许明天,流行,国语,,
夜航星,流行,国语,,https://www.bilibili.com/video/BV11e4y1u7Ac/
夜昙,古风,国语,,
一千零一个愿望,流行,国语,,
一如既往,流行,国语,,
一眼万年,古风,国语,,
一直很安静,流行,国语,,
以后的以后,流行,国语,,
易燃易爆炸,流行,国语,,
隐形的翅膀,流行,国语,,
樱花草,流行,国语,,
永不失联的爱,流行,国语,,
咏心,古风,国语,,
有何不可,流行,国语,,
有一封信,流行,国语,,
有一种悲伤,流行,国语,,
鱼,流行,国语,,https://www.bilibili.com/video/BV1x84y1k7Jx/
与你有关,流行,国语,,https://www.bilibili.com/video/BV16W4y1T7VB/
雨爱,流行,国语,,https://www.bilibili.com/video/BV1pP4y1q77H/
御龙吟,古风,国语,,
遇萤,古风,国语,,
原谅,流行,国语,,https://www.bilibili.com/video/BV1EP4y1X7GH/
月亮船,童年回忆,国语,,
月弯弯,流行,国语,,
再见,流行,国语,,https://www.bilibili.com/video/BV1cG411u7C7/
战争世界,流行,国语,,
这样爱了,流行,国语,,
真的傻,流行,国语,,https://www.bilibili.com/video/BV1g8411j7WF/
枕边童话,流行,国语,,
征服,流行,国语,,
知否,古风,国语,,
至少还有你,流行,国语,,
猪猪侠,童年回忆,国语,,https://www.bilibili.com/video/BV1Dg411b7LQ/
追光者,流行,国语,,
紫,古风,国语,,https://www.bilibili.com/video/BV1Q8411G7QH/
最初的梦想,流行,国语,,
最长的电影,流行,国语,,https://www.bilibili.com/video/BV14R4y167zG/
醉清风,流行,国语,,
左半边翅膀,流行,国语,,
左手右手,童年回忆,国语,,
左手指月,流行,国语,大航海限定,https://www.bilibili.com/video/BV1UP411K7Wo/
A.I.N.I.爱你,流行,国语,,
Memory,音乐剧,英语,,
Never enough,音乐剧,英语,,
P.S.我爱你,流行,国语,,https://www.bilibili.com/video/BV1q8411J7ts/
Scarborough fair,流行,英语,,
Think of me,音乐剧,英语,,https://www.bilibili.com/video/BV1Xe411F7jh/
TRUE,流行,日语,,
分手快乐,流行,国语,绝活,https://www.bilibili.com/video/BV1NA411X7Ms/